movie_id,start_time,precio,cinema_id_ext,sala_id_ext,sala_number
181,2025-10-18 15:00:00,30.0,cin_906,sala_8133,9
184,2025-10-18 15:00:00,32.9,cin_2144,sala_19174,1
336,2025-10-18 22:30:00,31.88,cin_736,sala_6578,11
76,2025-10-18 10:30:00,22.36,cin_1374,sala_12355,10
313,2025-10-18 22:30:00,24.63,cin_1563,sala_14023,8
393,2025-10-18 13:45:00,28.16,cin_195,sala_1742,3
299,2025-10-18 13:45:00,41.25,cin_319,sala_2869,7
162,2025-10-18 21:15:00,20.76,cin_1172,sala_10533,1
195,2025-10-18 10:30:00,14.94,cin_1985,sala_17754,6
197,2025-10-18 21:15:00,26.42,cin_1789,sala_16022,5
343,2025-10-18 10:30:00,35.03,cin_414,sala_3729,9
455,2025-10-18 10:30:00,32.32,cin_1305,sala_11730,12
226,2025-10-18 12:30:00,42.84,cin_1669,sala_14951,6
80,2025-10-18 22:30:00,42.24,cin_2121,sala_18945,1
35,2025-10-18 15:00:00,32.1,cin_391,sala_3516,1
29,2025-10-18 21:15:00,21.1,cin_230,sala_2049,1
384,2025-10-18 12:30:00,19.53,cin_2127,sala_19014,4
44,2025-10-18 15:00:00,16.04,cin_622,sala_5562,9
485,2025-10-18 11:45:00,13.8,cin_918,sala_8233,3
411,2025-10-18 13:45:00,21.31,cin_1858,sala_16612,3
449,2025-10-18 21:15:00,39.3,cin_1858,sala_16617,8
71,2025-10-18 22:30:00,39.72,cin_2047,sala_18300,6
35,2025-10-18 11:45:00,25.76,cin_1115,sala_10009,12
118,2025-10-18 22:30:00,15.58,cin_2157,sala_19284,5
217,2025-10-18 15:00:00,35.76,cin_2212,sala_19786,5
258,2025-10-18 12:30:00,14.97,cin_2170,sala_19402,5
246,2025-10-18 16:15:00,25.92,cin_422,sala_3794,3
466,2025-10-18 21:15:00,41.19,cin_778,sala_6953,8
86,2025-10-18 13:45:00,20.26,cin_1352,sala_12157,2
106,2025-10-18 13:45:00,35.16,cin_636,sala_5687,5
403,2025-10-18 13:45:00,29.15,cin_1265,sala_11366,5
480,2025-10-18 16:15:00,17.32,cin_1198,sala_10768,6
83,2025-10-18 13:45:00,16.11,cin_196,sala_1758,9
22,2025-10-18 16:15:00,37.55,cin_566,sala_5083,6
172,2025-10-18 10:30:00,27.42,cin_613,sala_5484,7
306,2025-10-18 18:45:00,39.67,cin_1293,sala_11630,8
166,2025-10-18 16:15:00,24.12,cin_1103,sala_9896,6
447,2025-10-18 15:00:00,17.79,cin_1588,sala_14239,6
314,2025-10-18 18:45:00,17.55,cin_686,sala_6145,8
236,2025-10-18 13:45:00,30.08,cin_1588,sala_14241,8
260,2025-10-18 15:00:00,29.41,cin_1097,sala_9846,4
160,2025-10-18 18:45:00,13.95,cin_208,sala_1866,2
426,2025-10-18 13:45:00,43.64,cin_1070,sala_9604,1
341,2025-10-18 15:00:00,44.05,cin_1280,sala_11511,9
4,2025-10-18 22:30:00,14.41,cin_1268,sala_11398,9
196,2025-10-18 12:30:00,17.26,cin_903,sala_8108,7
385,2025-10-18 12:30:00,12.01,cin_13,sala_120,7
143,2025-10-18 11:45:00,36.37,cin_2038,sala_18209,1
355,2025-10-18 15:00:00,27.69,cin_1046,sala_9405,5
27,2025-10-18 17:30:00,24.56,cin_123,sala_1104,4
104,2025-10-18 10:30:00,27.63,cin_1950,sala_17451,3
366,2025-10-18 20:00:00,17.86,cin_1387,sala_12466,2
182,2025-10-18 20:00:00,28.6,cin_273,sala_2434,5
52,2025-10-18 11:45:00,15.08,cin_1087,sala_9761,7
69,2025-10-18 15:00:00,30.21,cin_33,sala_285,5
334,2025-10-18 12:30:00,37.65,cin_1241,sala_11168,6
148,2025-10-18 16:15:00,23.15,cin_1513,sala_13559,7
439,2025-10-18 20:00:00,15.75,cin_508,sala_4550,2
395,2025-10-18 10:30:00,33.95,cin_2162,sala_19326,4
312,2025-10-18 17:30:00,36.07,cin_1535,sala_13738,2
133,2025-10-18 10:30:00,21.75,cin_2167,sala_19370,5
66,2025-10-18 16:15:00,13.58,cin_947,sala_8505,12
154,2025-10-18 18:45:00,13.67,cin_1651,sala_14781,4
462,2025-10-18 22:30:00,40.58,cin_1040,sala_9356,9
50,2025-10-18 16:15:00,26.59,cin_667,sala_5974,5
327,2025-10-18 21:15:00,29.64,cin_1371,sala_12323,1
263,2025-10-18 11:45:00,20.82,cin_163,sala_1456,3
318,2025-10-18 11:45:00,22.89,cin_2138,sala_19120,4
379,2025-10-18 11:45:00,25.98,cin_2009,sala_17944,3
1,2025-10-18 15:00:00,23.4,cin_2218,sala_19837,6
437,2025-10-18 12:30:00,14.45,cin_1607,sala_14404,3
326,2025-10-18 17:30:00,21.2,cin_1321,sala_11863,1
141,2025-10-18 21:15:00,27.16,cin_663,sala_5937,8
492,2025-10-18 12:30:00,20.68,cin_2230,sala_19943,1
89,2025-10-18 15:00:00,25.07,cin_669,sala_5992,1
36,2025-10-18 11:45:00,37.43,cin_383,sala_3449,5
474,2025-10-18 16:15:00,22.55,cin_1254,sala_11272,3
389,2025-10-18 10:30:00,31.79,cin_243,sala_2162,1
229,2025-10-18 13:45:00,26.99,cin_2036,sala_18188,1
254,2025-10-18 11:45:00,19.73,cin_1735,sala_15557,9
459,2025-10-18 11:45:00,18.43,cin_1783,sala_15965,10
198,2025-10-18 10:30:00,31.33,cin_1357,sala_12204,6
367,2025-10-18 12:30:00,30.96,cin_1953,sala_17482,6
85,2025-10-18 20:00:00,28.17,cin_1067,sala_9590,6
109,2025-10-18 17:30:00,20.04,cin_2132,sala_19068,6
28,2025-10-18 18:45:00,24.66,cin_814,sala_7275,2
388,2025-10-18 11:45:00,35.75,cin_1886,sala_16863,2
436,2025-10-18 10:30:00,12.18,cin_708,sala_6316,2
354,2025-10-18 22:30:00,32.9,cin_1580,sala_14173,9
385,2025-10-18 13:45:00,19.44,cin_1730,sala_15508,10
103,2025-10-18 22:30:00,39.29,cin_280,sala_2501,10
317,2025-10-18 15:00:00,29.15,cin_2180,sala_19499,7
361,2025-10-18 15:00:00,42.41,cin_2109,sala_18846,8
362,2025-10-18 21:15:00,21.27,cin_2227,sala_19917,5
32,2025-10-18 15:00:00,33.28,cin_48,sala_414,4
456,2025-10-18 22:30:00,13.23,cin_810,sala_7234,1
180,2025-10-18 10:30:00,22.14,cin_1715,sala_15370,8
183,2025-10-18 12:30:00,14.69,cin_1010,sala_9069,10
71,2025-10-18 16:15:00,31.7,cin_1795,sala_16077,10
299,2025-10-18 15:00:00,44.37,cin_1897,sala_16961,1
410,2025-10-18 16:15:00,44.95,cin_853,sala_7660,7
213,2025-10-18 20:00:00,26.3,cin_1760,sala_15769,12
193,2025-10-18 10:30:00,38.08,cin_229,sala_2041,4
241,2025-10-18 16:15:00,27.29,cin_1104,sala_9913,11
216,2025-10-18 10:30:00,22.53,cin_528,sala_4741,8
230,2025-10-18 20:00:00,29.8,cin_1545,sala_13839,1
214,2025-10-18 15:00:00,22.67,cin_1479,sala_13276,5
234,2025-10-18 17:30:00,30.63,cin_452,sala_4048,5
447,2025-10-18 20:00:00,27.87,cin_1682,sala_15066,9
5,2025-10-18 11:45:00,25.96,cin_1635,sala_14636,2
229,2025-10-18 16:15:00,29.15,cin_724,sala_6458,5
420,2025-10-18 10:30:00,39.79,cin_37,sala_324,8
370,2025-10-18 18:45:00,37.92,cin_905,sala_8116,1
30,2025-10-18 22:30:00,35.13,cin_1384,sala_12450,8
373,2025-10-18 17:30:00,13.68,cin_1106,sala_9923,1
329,2025-10-18 12:30:00,42.77,cin_757,sala_6769,5
489,2025-10-18 18:45:00,41.35,cin_915,sala_8204,2
331,2025-10-18 13:45:00,14.07,cin_1588,sala_14241,8
413,2025-10-18 10:30:00,42.77,cin_2166,sala_19365,8
457,2025-10-18 12:30:00,44.55,cin_428,sala_3850,2
355,2025-10-18 21:15:00,29.59,cin_1682,sala_15061,4
280,2025-10-18 21:15:00,41.26,cin_2193,sala_19609,1
466,2025-10-18 11:45:00,14.64,cin_33,sala_285,5
36,2025-10-18 12:30:00,30.21,cin_1166,sala_10480,5
