id,nombre,ciudad,distrito,nro_salas
1,Cine Promociones Sanz y asociados S.L.N.E,Melilla,Ville,11
2,Cine Banca Privada AX S.L.N.E,Valencia,Ville,10
3,Cine Camila Puig Macías S.L.N.E,Valencia,Ville,11
4,Cine Aragonés y Linares S.L.L.,Valladolid,Ville,9
5,Cine Comercializadora del Levante S.Coop.,Pontevedra,Ville,9
6,Cine Zaragoza y Mancebo S.A.T.,Madrid,Ville,11
7,Cine Hotel Ibéricos S.L.,Segovia,Ville,12
8,Cine Hermanos Luna S.A.T.,Murcia,Ville,6
9,Cine Castañeda y Galán S.L.,Ciudad,Ville,6
10,Cine Restauración del Mediterráneo S.A.,Girona,Ville,8
11,Cine Grupo Cuevas S.L.N.E,Valencia,Ville,12
12,Cine Alberola y Sola S.A.,Navarra,Ville,8
13,Cine Inversiones del Norte S.L.,Baleares,Ville,10
14,Cine Donato Ibáñez Gibert S.A.,Cáceres,Ville,12
15,Cine Roldán y Lastra S.L.,Lugo,Ville,12
16,Cine Restauración Miró S.A.,Cantabria,Ville,12
17,Cine Comercializadora IX S.Coop.,Guadalajara,Ville,7
18,Cine Transportes Navarro & Asociados S.A.,Pontevedra,Ville,9
19,Cine Hermanos Rosselló S.L.N.E,La Coruña,Ville,7
20,Cine Comercializadora Ayala S.L.,Valencia,Ville,6
21,Cine Desarrollo Casanova S.Coop.,Las Palmas,Ville,6
22,Cine Banca Privada Gibert y asociados S.C.P,Albacete,Ville,7
23,Cine Primitiva Godoy Morcillo S.L.,Granada,Ville,6
24,Cine Zabala y Borrego S.Com.,Ávila,Ville,6
25,Cine Grupo Casanova S.Coop.,Cáceres,Ville,11
26,Cine Transportes Losa & Asociados S.C.P,Zamora,Ville,6
27,Cine Inversiones Ferrer & Asociados S.Coop.,Murcia,Ville,10
28,Cine Manufacturas Naranjo y asociados S.L.,Badajoz,Ville,6
29,Cine Distribuciones Escobar & Asociados S.L.,Cáceres,Ville,10
30,Cine Farmaceútica Rodriguez S.L.,La Rioja,Ville,9
31,Cine Desarrollo Pinilla y asociados S.Com.,Zamora,Ville,8
32,Cine Compañía Pedro y asociados S.L.,Guadalajara,Ville,7
33,Cine Múgica y Ferrer S.A.,León,Ville,6
34,Cine Comercializadora del Mediterráneo S.A.U,Ourense,Ville,10
35,Cine Hermanos Arranz S.A.,Granada,Ville,10
36,Cine Palacios y Ruiz S.L.U.,Valencia,Ville,10
37,Cine Suministros KLVM S.C.P,Álava,Ville,8
38,Cine Requena y asociados S.L.N.E,Cádiz,Ville,7
39,Cine José Luis Cuesta Boix S.A.,Baleares,Ville,6
40,Cine Redondo y Acero S.Com.,Almería,Ville,12
41,Cine Hnos Gárate S.A.T.,Soria,Ville,8
42,Cine Hotel Castrillo S.L.,Córdoba,Ville,9
43,Cine Restauración FYYP S.L.L.,Cantabria,Ville,8
44,Cine Ramírez y asociados S.A.,Las Palmas,Ville,12
45,Cine Supermercados del Noroeste S.A.T.,Salamanca,Ville,8
46,Cine Fábrica STNY S.A.U,Santa Cruz de Tenerife,Ville,10
47,Cine Suministros Barco S.L.,Málaga,Ville,6
48,Cine Prada y Peral S.Com.,Baleares,Ville,10
49,Cine Ariel Leon Suárez S.A.,Valladolid,Ville,8
50,Cine Vélez & Asociados S.Coop.,La Rioja,Ville,8
51,Cine Esparza y Mena S.Coop.,Guadalajara,Ville,6
52,Cine Alimentación DW S.L.N.E,Navarra,Ville,6
53,Cine Maza & Asociados S.A.,Asturias,Ville,9
54,Cine Logística GO S.A.U,Huesca,Ville,7
55,Cine Soluciones Integrales S.L.N.E,Toledo,Ville,9
56,Cine Talleres Zabaleta S.L.,Cantabria,Ville,10
57,Cine Fábrica Arranz S.L.,Ciudad,Ville,12
58,Cine Llanos y Iñiguez S.L.L.,Ceuta,Ville,7
59,Cine Chucho Carreras Calderón S.L.,Huesca,Ville,8
60,Cine Tecnologías Cantero y asociados S.L.,León,Ville,8
61,Cine Goñi y Lago S.L.L.,La Coruña,Ville,8
62,Cine Naranjo & Asociados S.L.L.,Almería,Ville,8
63,Cine Comercializadora UKI S.Coop.,Santa Cruz de Tenerife,Ville,11
64,Cine Consultoría Correa & Asociados S.L.N.E,Toledo,Ville,8
65,Cine Puente y asociados S.A.,Pontevedra,Ville,10
66,Cine Inversiones Barceló & Asociados S.Com.,Burgos,Ville,9
67,Cine Infraestructuras XU S.Com.,Alicante,Ville,12
68,Cine Manufacturas KC S.Com.,Tarragona,Ville,9
69,Cine Minería Bernal y asociados S.A.,Asturias,Ville,10
70,Cine Finanzas RPPP S.Coop.,Álava,Ville,8
71,Cine Diego y asociados S.Com.,Cuenca,Ville,9
72,Cine Supermercados LKRG S.Coop.,Asturias,Ville,12
73,Cine Barreda y asociados S.A.D,Granada,Ville,11
74,Cine Gómez y Larrea S.Com.,Badajoz,Ville,6
75,Cine Adelia Corral Cueto S.Com.,Ciudad,Ville,8
76,Cine Domínguez y Ferrán S.A.T.,Salamanca,Ville,10
77,Cine Comercializadora Inteligentes S.A.,Guadalajara,Ville,7
78,Cine Compañía Internacionales S.L.,Baleares,Ville,12
79,Cine Compañía Globales S.L.,La Rioja,Ville,6
80,Cine Morera y Sacristán S.L.N.E,Murcia,Ville,9
81,Cine Perera y Mariño S.L.N.E,Ávila,Ville,6
82,Cine Servicios DVB S.L.,Asturias,Ville,11
83,Cine Consultoría LOL S.L.,Cádiz,Ville,9
84,Cine Melero y Benavides S.L.L.,Lugo,Ville,7
85,Cine Octavia Jover Crespi S.L.,Cádiz,Ville,11
86,Cine Arteaga y asociados S.L.,Murcia,Ville,10
87,Cine Banca Privada Inteligentes S.L.,Asturias,Ville,12
88,Cine Calatayud & Asociados S.Com.,Jaén,Ville,9
89,Cine Ascensión Noguera Ojeda S.Com.,Toledo,Ville,12
90,Cine Baeza y Amigó S.Com.,Burgos,Ville,12
91,Cine Compañía Barrena S.L.N.E,Castellón,Ville,9
92,Cine Nayara Escolano Palacios S.A.,Almería,Ville,7
93,Cine Hermanos Almagro S.Coop.,Toledo,Ville,7
94,Cine Inversiones Barriga y asociados S.Coop.,Málaga,Ville,11
95,Cine Farmaceútica Espada y asociados S.L.L.,Almería,Ville,10
96,Cine Instalaciones Alarcón & Asociados S.L.N.E,Lugo,Ville,10
97,Cine Suministros Narváez y asociados S.L.,Palencia,Ville,10
98,Cine Pazos & Asociados S.Com.,Sevilla,Ville,9
99,Cine Grupo Clavero S.A.,Cantabria,Ville,7
100,Cine Gabaldón y asociados S.Coop.,Castellón,Ville,10
101,Cine Carlito Lozano Farré S.L.,Girona,Ville,8
102,Cine Valenciano y Roig S.Com.,Tarragona,Ville,9
103,Cine Grupo Roselló S.L.,Madrid,Ville,10
104,Cine Finanzas BMKA S.A.,Almería,Ville,8
105,Cine Hermanos Fiol S.L.,Guipúzcoa,Ville,7
106,Cine Familia Ibarra S.L.,Lleida,Ville,7
107,Cine Ugarte y Peinado S.Com.,Cantabria,Ville,11
108,Cine Armas & Asociados S.L.,Córdoba,Ville,7
109,Cine Minería Española S.A.U,Huelva,Ville,8
110,Cine Comercializadora Bernad y asociados S.Coop.,Asturias,Ville,12
111,Cine Promociones Iberia S.L.,Castellón,Ville,12
112,Cine Logística Tejada y asociados S.A.,Murcia,Ville,11
113,Cine Inversiones Cobos S.A.,Alicante,Ville,11
114,Cine Leal y Checa S.Com.,Cádiz,Ville,8
115,Cine Diaz y Jove S.Coop.,Salamanca,Ville,11
116,Cine Alfonso y asociados S.L.N.E,Valladolid,Ville,8
117,Cine Sanabria y Niño S.A.,Las Palmas,Ville,12
118,Cine Gonzalo Cabezas Coello S.L.U.,Huelva,Ville,11
119,Cine Compañía SJF S.L.L.,Badajoz,Ville,12
120,Cine Lucena y Báez S.C.P,Teruel,Ville,10
121,Cine Suministros FDL S.C.P,Guadalajara,Ville,6
122,Cine Edmundo Roselló Sáez S.Com.,Lleida,Ville,11
123,Cine Comercial del Levante S.L.,León,Ville,12
124,Cine Hermanos Doménech S.C.P,Jaén,Ville,11
125,Cine Gámez & Asociados S.A.,Albacete,Ville,7
126,Cine Banca Privada Mas S.Com.,Baleares,Ville,8
127,Cine Infraestructuras Fuente & Asociados S.L.,Ávila,Ville,9
128,Cine Avilés y Portillo S.Com.,Cuenca,Ville,11
129,Cine Inversiones Valdés y asociados S.A.,Badajoz,Ville,9
130,Cine Alimentación Lerma y asociados S.L.,Guadalajara,Ville,6
131,Cine Valenzuela y asociados S.Com.,Toledo,Ville,11
132,Cine Instalaciones Inteligentes S.Com.,Burgos,Ville,12
133,Cine Construcción KPFQ S.Com.,Cáceres,Ville,10
134,Cine Despacho Pellicer S.Coop.,Castellón,Ville,8
135,Cine Soluciones Viñas S.Com.,Tarragona,Ville,7
136,Cine Inversiones Globales S.Coop.,Álava,Ville,6
137,Cine Farmaceútica DC S.A.,Huesca,Ville,12
138,Cine Carmona y Iglesia S.L.U.,Soria,Ville,10
139,Cine Farmaceútica Iberia S.Coop.,Huesca,Ville,10
140,Cine Jose Antonio Díez Maza S.L.L.,Tarragona,Ville,11
141,Cine Hotel Cabello y asociados S.C.P,Las Palmas,Ville,6
142,Cine Banco Globales S.Com.,La Coruña,Ville,8
143,Cine Ismael Busquets Coloma S.L.,Cantabria,Ville,10
144,Cine Ágata Cano Prado S.C.P,Zaragoza,Ville,6
145,Cine Grupo Ferrán S.C.P,Badajoz,Ville,8
146,Cine Logística Barral & Asociados S.A.D,Zamora,Ville,12
147,Cine Comercial Castellana S.Com.,Girona,Ville,7
148,Cine Segura & Asociados S.Com.,Almería,Ville,6
149,Cine Hnos Valenzuela S.L.,Zamora,Ville,12
150,Cine Infraestructuras Acevedo & Asociados S.L.N.E,Badajoz,Ville,6
151,Cine Farmaceútica Guardiola y asociados S.L.N.E,Murcia,Ville,6
152,Cine Banco del Sur S.Coop.,La Rioja,Ville,8
153,Cine Banco Española S.Com.,Santa Cruz de Tenerife,Ville,8
154,Cine Grupo Angulo S.A.,Valladolid,Ville,6
155,Cine Farmaceútica Sarabia S.A.D,Ceuta,Ville,10
156,Cine Cerdá y Escobar S.L.,Granada,Ville,11
157,Cine Manufacturas Blanca S.A.,Cantabria,Ville,12
158,Cine Acevedo & Asociados S.Com.,Valencia,Ville,8
159,Cine Morillo y Plana S.L.N.E,Guipúzcoa,Ville,10
160,Cine Desarrollo del Noroeste S.A.,Álava,Ville,8
161,Cine Patricio Zapata Rincón S.C.P,Huelva,Ville,7
162,Cine Estrella Escobar Bermúdez S.Com.,Huesca,Ville,8
163,Cine Tecnologías Casas y asociados S.A.,Guadalajara,Ville,11
164,Cine Hnos Ramos S.A.T.,Valladolid,Ville,12
165,Cine Odalis Collado Cuéllar S.Com.,Cuenca,Ville,10
166,Cine Hnos Peña S.A.,Ourense,Ville,7
167,Cine Mateo y Borrego S.L.N.E,Salamanca,Ville,9
168,Cine Compañía Abellán S.A.,Vizcaya,Ville,9
169,Cine Familia Bilbao S.L.L.,Huelva,Ville,10
170,Cine Pombo y Llamas S.L.,Asturias,Ville,7
