id,cine_id,numero,capacidad,tipo_sala
1,1,1,80,2D
2,1,2,80,3D
3,1,3,80,2D
4,1,4,80,XD
5,1,5,100,2D
6,1,6,140,2D
7,1,7,120,2D
8,1,8,100,XD
9,1,9,160,3D
10,1,10,140,2D
11,1,11,80,2D
12,2,1,140,2D
13,2,2,80,XD
14,2,3,120,2D
15,2,4,120,2D
16,2,5,140,3D
17,2,6,180,2D
18,2,7,120,2D
19,2,8,80,3D
20,2,9,100,3D
21,2,10,80,2D
22,3,1,100,2D
23,3,2,140,2D
24,3,3,100,2D
25,3,4,120,2D
26,3,5,80,2D
27,3,6,80,2D
28,3,7,100,XD
29,3,8,100,3D
30,3,9,180,XD
31,3,10,80,2D
32,3,11,100,IMAX
33,4,1,100,2D
34,4,2,180,IMAX
35,4,3,80,2D
36,4,4,160,2D
37,4,5,180,2D
38,4,6,80,2D
39,4,7,100,XD
40,4,8,120,2D
41,4,9,160,2D
42,5,1,140,2D
43,5,2,180,2D
44,5,3,160,2D
45,5,4,160,XD
46,5,5,100,2D
47,5,6,80,2D
48,5,7,140,XD
49,5,8,80,2D
50,5,9,120,2D
51,6,1,160,2D
52,6,2,160,2D
53,6,3,80,2D
54,6,4,100,XD
55,6,5,180,2D
56,6,6,180,2D
57,6,7,180,IMAX
58,6,8,100,XD
59,6,9,140,2D
60,6,10,120,2D
61,6,11,140,IMAX
62,7,1,80,XD
63,7,2,100,2D
64,7,3,140,3D
65,7,4,140,IMAX
66,7,5,140,3D
67,7,6,120,2D
68,7,7,120,3D
69,7,8,100,3D
70,7,9,80,IMAX
71,7,10,120,2D
72,7,11,180,2D
73,7,12,100,XD
74,8,1,180,2D
75,8,2,180,2D
76,8,3,160,2D
77,8,4,140,2D
78,8,5,120,3D
79,8,6,180,2D
80,9,1,160,2D
81,9,2,120,2D
82,9,3,100,XD
83,9,4,160,XD
84,9,5,80,2D
85,9,6,100,XD
86,10,1,160,IMAX
87,10,2,140,XD
88,10,3,100,IMAX
89,10,4,100,3D
90,10,5,160,2D
91,10,6,180,2D
92,10,7,100,3D
93,10,8,180,2D
94,11,1,160,IMAX
95,11,2,160,3D
96,11,3,80,3D
97,11,4,160,2D
98,11,5,100,2D
99,11,6,120,3D
100,11,7,180,2D
101,11,8,140,2D
102,11,9,140,2D
103,11,10,80,XD
104,11,11,160,3D
105,11,12,80,2D
106,12,1,160,XD
107,12,2,80,2D
108,12,3,180,2D
109,12,4,160,2D
110,12,5,120,IMAX
111,12,6,80,3D
112,12,7,100,2D
113,12,8,140,2D
114,13,1,80,XD
115,13,2,180,2D
116,13,3,140,2D
117,13,4,140,2D
118,13,5,180,2D
119,13,6,180,XD
120,13,7,100,2D
121,13,8,180,2D
122,13,9,160,IMAX
123,13,10,140,2D
124,14,1,160,3D
125,14,2,140,2D
126,14,3,160,2D
127,14,4,80,2D
128,14,5,120,IMAX
129,14,6,120,3D
130,14,7,120,2D
131,14,8,180,2D
132,14,9,120,2D
133,14,10,120,2D
134,14,11,80,2D
135,14,12,100,2D
136,15,1,100,2D
137,15,2,100,2D
138,15,3,180,2D
139,15,4,140,2D
140,15,5,160,2D
141,15,6,100,2D
142,15,7,180,2D
143,15,8,80,2D
144,15,9,120,XD
145,15,10,120,2D
146,15,11,180,3D
147,15,12,160,IMAX
148,16,1,120,2D
149,16,2,80,IMAX
150,16,3,180,2D
151,16,4,180,2D
152,16,5,80,2D
153,16,6,160,IMAX
154,16,7,80,2D
155,16,8,120,2D
156,16,9,100,2D
157,16,10,160,IMAX
158,16,11,140,2D
159,16,12,120,2D
160,17,1,120,IMAX
161,17,2,120,3D
162,17,3,120,3D
163,17,4,80,XD
164,17,5,80,IMAX
165,17,6,140,2D
166,17,7,100,2D
167,18,1,80,XD
168,18,2,100,2D
169,18,3,160,3D
170,18,4,180,2D
171,18,5,120,XD
172,18,6,180,2D
173,18,7,120,2D
174,18,8,100,IMAX
175,18,9,160,2D
176,19,1,160,2D
177,19,2,160,XD
178,19,3,80,XD
179,19,4,140,2D
180,19,5,100,2D
181,19,6,160,2D
182,19,7,180,2D
183,20,1,140,2D
184,20,2,160,2D
185,20,3,120,2D
186,20,4,160,2D
187,20,5,80,XD
188,20,6,180,2D
189,21,1,80,2D
190,21,2,180,2D
191,21,3,100,IMAX
192,21,4,100,2D
193,21,5,140,2D
194,21,6,180,2D
195,22,1,80,XD
196,22,2,140,2D
197,22,3,160,2D
198,22,4,80,3D
199,22,5,140,2D
200,22,6,100,XD
201,22,7,80,XD
202,23,1,80,2D
203,23,2,120,XD
204,23,3,80,2D
205,23,4,100,2D
206,23,5,120,XD
207,23,6,80,2D
208,24,1,180,2D
209,24,2,180,2D
210,24,3,120,2D
211,24,4,160,2D
212,24,5,100,2D
213,24,6,140,XD
214,25,1,180,XD
215,25,2,100,2D
216,25,3,100,2D
217,25,4,140,3D
218,25,5,80,3D
219,25,6,140,3D
220,25,7,160,IMAX
221,25,8,80,IMAX
222,25,9,100,IMAX
223,25,10,80,3D
224,25,11,160,2D
225,26,1,80,2D
226,26,2,140,2D
227,26,3,80,2D
228,26,4,160,2D
229,26,5,100,2D
230,26,6,80,XD
231,27,1,180,2D
232,27,2,140,3D
233,27,3,80,2D
234,27,4,160,IMAX
235,27,5,140,2D
236,27,6,140,2D
237,27,7,100,IMAX
238,27,8,80,2D
239,27,9,140,2D
240,27,10,80,3D
241,28,1,120,IMAX
242,28,2,80,XD
243,28,3,120,2D
244,28,4,100,2D
245,28,5,120,2D
246,28,6,160,2D
247,29,1,140,2D
248,29,2,100,2D
249,29,3,120,XD
250,29,4,120,IMAX
251,29,5,180,2D
252,29,6,80,2D
253,29,7,140,XD
254,29,8,140,2D
255,29,9,160,3D
256,29,10,100,2D
257,30,1,180,2D
258,30,2,160,2D
259,30,3,180,IMAX
260,30,4,80,2D
261,30,5,120,2D
262,30,6,100,3D
263,30,7,100,2D
264,30,8,160,2D
265,30,9,120,XD
266,31,1,180,XD
267,31,2,140,2D
268,31,3,160,2D
269,31,4,160,2D
270,31,5,80,2D
271,31,6,180,2D
272,31,7,160,XD
273,31,8,180,2D
274,32,1,80,2D
275,32,2,80,2D
276,32,3,80,2D
277,32,4,140,2D
278,32,5,140,3D
279,32,6,100,3D
280,32,7,180,2D
281,33,1,80,IMAX
282,33,2,80,3D
283,33,3,120,2D
284,33,4,80,2D
285,33,5,140,2D
286,33,6,80,2D
287,34,1,180,2D
288,34,2,140,IMAX
289,34,3,100,3D
290,34,4,180,2D
291,34,5,140,2D
292,34,6,80,XD
293,34,7,140,XD
294,34,8,120,XD
295,34,9,140,XD
296,34,10,180,2D
297,35,1,80,2D
298,35,2,120,2D
299,35,3,100,2D
300,35,4,180,2D
301,35,5,100,2D
302,35,6,160,2D
303,35,7,140,IMAX
304,35,8,80,2D
305,35,9,80,IMAX
306,35,10,180,XD
307,36,1,160,2D
308,36,2,160,IMAX
309,36,3,180,2D
310,36,4,100,IMAX
311,36,5,180,2D
312,36,6,140,3D
313,36,7,100,2D
314,36,8,180,3D
315,36,9,180,2D
316,36,10,160,3D
317,37,1,100,2D
318,37,2,180,2D
319,37,3,120,2D
320,37,4,140,2D
321,37,5,80,IMAX
322,37,6,80,2D
323,37,7,160,2D
324,37,8,180,2D
325,38,1,180,IMAX
326,38,2,160,XD
327,38,3,140,IMAX
328,38,4,100,IMAX
329,38,5,180,2D
330,38,6,120,IMAX
331,38,7,120,2D
332,39,1,140,2D
333,39,2,140,2D
334,39,3,160,IMAX
335,39,4,100,2D
336,39,5,160,2D
337,39,6,80,3D
338,40,1,80,2D
339,40,2,100,2D
340,40,3,180,XD
341,40,4,140,2D
342,40,5,120,2D
343,40,6,80,2D
344,40,7,140,IMAX
345,40,8,120,XD
346,40,9,120,2D
347,40,10,100,XD
348,40,11,140,2D
349,40,12,80,2D
350,41,1,120,2D
351,41,2,140,2D
352,41,3,160,XD
353,41,4,100,2D
354,41,5,160,2D
355,41,6,120,2D
356,41,7,120,2D
357,41,8,100,XD
358,42,1,180,2D
359,42,2,80,IMAX
360,42,3,80,2D
361,42,4,100,IMAX
362,42,5,180,2D
363,42,6,140,2D
364,42,7,120,2D
365,42,8,100,2D
366,42,9,120,IMAX
367,43,1,120,IMAX
368,43,2,160,2D
369,43,3,160,2D
370,43,4,180,2D
371,43,5,180,2D
372,43,6,160,IMAX
373,43,7,140,IMAX
374,43,8,160,2D
375,44,1,160,IMAX
376,44,2,80,2D
377,44,3,160,XD
378,44,4,140,2D
379,44,5,140,2D
380,44,6,140,IMAX
381,44,7,180,2D
382,44,8,100,IMAX
383,44,9,140,3D
384,44,10,140,2D
385,44,11,120,2D
386,44,12,180,2D
387,45,1,100,XD
388,45,2,80,2D
389,45,3,120,2D
390,45,4,160,2D
391,45,5,120,2D
392,45,6,100,3D
393,45,7,100,3D
394,45,8,120,IMAX
395,46,1,100,2D
396,46,2,120,2D
397,46,3,140,3D
398,46,4,100,IMAX
399,46,5,80,2D
400,46,6,140,2D
401,46,7,180,XD
402,46,8,80,XD
403,46,9,180,XD
404,46,10,180,XD
405,47,1,140,2D
406,47,2,160,2D
407,47,3,100,2D
408,47,4,120,3D
409,47,5,180,XD
410,47,6,120,2D
411,48,1,180,3D
412,48,2,160,XD
413,48,3,140,2D
414,48,4,80,2D
415,48,5,160,XD
416,48,6,120,2D
417,48,7,80,2D
418,48,8,160,3D
419,48,9,140,XD
420,48,10,100,2D
421,49,1,160,2D
422,49,2,100,2D
423,49,3,100,XD
424,49,4,180,2D
425,49,5,120,3D
426,49,6,100,2D
427,49,7,160,2D
428,49,8,100,IMAX
429,50,1,160,2D
430,50,2,140,IMAX
431,50,3,120,2D
432,50,4,120,2D
433,50,5,120,2D
434,50,6,120,2D
435,50,7,100,2D
436,50,8,120,2D
437,51,1,120,2D
438,51,2,140,2D
439,51,3,80,IMAX
440,51,4,180,IMAX
441,51,5,160,2D
442,51,6,140,IMAX
443,52,1,120,XD
444,52,2,180,2D
445,52,3,120,2D
446,52,4,140,XD
447,52,5,80,2D
448,52,6,120,XD
449,53,1,100,2D
450,53,2,180,2D
451,53,3,80,2D
452,53,4,180,3D
453,53,5,140,IMAX
454,53,6,140,3D
455,53,7,180,2D
456,53,8,140,2D
457,53,9,180,2D
458,54,1,80,2D
459,54,2,180,2D
460,54,3,120,XD
461,54,4,120,3D
462,54,5,160,3D
463,54,6,100,2D
464,54,7,140,3D
465,55,1,180,IMAX
466,55,2,120,IMAX
467,55,3,100,IMAX
468,55,4,120,2D
469,55,5,80,3D
470,55,6,120,2D
471,55,7,140,XD
472,55,8,140,2D
473,55,9,140,XD
474,56,1,140,2D
475,56,2,180,3D
476,56,3,160,2D
477,56,4,160,2D
478,56,5,80,2D
479,56,6,180,2D
480,56,7,120,XD
481,56,8,160,2D
482,56,9,100,2D
483,56,10,180,XD
484,57,1,180,2D
485,57,2,140,2D
486,57,3,180,2D
487,57,4,160,2D
488,57,5,80,XD
489,57,6,100,3D
490,57,7,160,XD
491,57,8,100,3D
492,57,9,180,XD
493,57,10,160,2D
494,57,11,160,3D
495,57,12,160,2D
496,58,1,120,2D
497,58,2,140,2D
498,58,3,120,2D
499,58,4,100,2D
500,58,5,180,2D
501,58,6,100,IMAX
502,58,7,120,2D
503,59,1,180,3D
504,59,2,80,2D
505,59,3,80,XD
506,59,4,80,3D
507,59,5,120,XD
508,59,6,120,2D
509,59,7,80,2D
510,59,8,100,2D
511,60,1,120,2D
512,60,2,100,IMAX
513,60,3,80,IMAX
514,60,4,160,IMAX
515,60,5,160,2D
516,60,6,80,3D
517,60,7,180,2D
518,60,8,160,3D
519,61,1,160,2D
520,61,2,80,IMAX
521,61,3,120,2D
522,61,4,100,2D
523,61,5,180,2D
524,61,6,180,2D
525,61,7,80,IMAX
526,61,8,160,2D
527,62,1,180,XD
528,62,2,160,IMAX
529,62,3,160,IMAX
530,62,4,180,2D
531,62,5,160,3D
532,62,6,160,2D
533,62,7,180,IMAX
534,62,8,140,3D
535,63,1,160,2D
536,63,2,80,2D
537,63,3,140,2D
538,63,4,120,2D
539,63,5,100,2D
540,63,6,120,IMAX
541,63,7,140,2D
542,63,8,120,2D
543,63,9,160,2D
544,63,10,100,3D
545,63,11,160,XD
546,64,1,120,2D
547,64,2,120,2D
548,64,3,100,2D
549,64,4,120,2D
550,64,5,180,2D
551,64,6,180,2D
552,64,7,100,IMAX
553,64,8,140,2D
554,65,1,180,IMAX
555,65,2,160,IMAX
556,65,3,100,2D
557,65,4,160,XD
558,65,5,120,2D
559,65,6,100,IMAX
560,65,7,80,IMAX
561,65,8,140,IMAX
562,65,9,100,IMAX
563,65,10,120,2D
564,66,1,100,2D
565,66,2,100,2D
566,66,3,120,2D
567,66,4,80,XD
568,66,5,120,2D
569,66,6,80,2D
570,66,7,80,IMAX
571,66,8,160,2D
572,66,9,120,2D
573,67,1,160,2D
574,67,2,100,2D
575,67,3,80,2D
576,67,4,100,2D
577,67,5,180,IMAX
578,67,6,160,2D
579,67,7,140,2D
580,67,8,120,XD
581,67,9,160,IMAX
582,67,10,160,IMAX
583,67,11,180,2D
584,67,12,180,2D
585,68,1,160,IMAX
586,68,2,160,2D
587,68,3,120,2D
588,68,4,100,2D
589,68,5,80,2D
590,68,6,80,2D
591,68,7,140,IMAX
592,68,8,160,XD
593,68,9,160,2D
594,69,1,100,2D
595,69,2,140,2D
596,69,3,80,IMAX
597,69,4,140,2D
598,69,5,120,2D
599,69,6,100,2D
600,69,7,160,2D
601,69,8,120,2D
602,69,9,180,IMAX
603,69,10,120,XD
604,70,1,180,2D
605,70,2,160,IMAX
606,70,3,180,2D
607,70,4,80,2D
608,70,5,80,2D
609,70,6,80,2D
610,70,7,120,2D
611,70,8,160,2D
612,71,1,120,2D
613,71,2,140,2D
614,71,3,160,2D
615,71,4,120,2D
616,71,5,100,IMAX
617,71,6,160,IMAX
618,71,7,140,2D
619,71,8,120,3D
620,71,9,80,2D
621,72,1,120,2D
622,72,2,160,3D
623,72,3,80,3D
624,72,4,100,2D
625,72,5,140,2D
626,72,6,160,2D
627,72,7,160,2D
628,72,8,180,2D
629,72,9,100,2D
630,72,10,80,IMAX
631,72,11,160,2D
632,72,12,100,2D
633,73,1,160,2D
634,73,2,120,IMAX
635,73,3,180,2D
636,73,4,160,IMAX
637,73,5,80,XD
638,73,6,140,2D
639,73,7,180,2D
640,73,8,120,2D
641,73,9,100,IMAX
642,73,10,100,IMAX
643,73,11,80,2D
644,74,1,180,2D
645,74,2,180,2D
646,74,3,140,2D
647,74,4,100,2D
648,74,5,180,2D
649,74,6,160,XD
650,75,1,160,3D
651,75,2,80,2D
652,75,3,160,IMAX
653,75,4,140,3D
654,75,5,80,2D
655,75,6,80,2D
656,75,7,140,2D
657,75,8,180,2D
658,76,1,140,XD
659,76,2,180,XD
660,76,3,180,IMAX
661,76,4,120,2D
662,76,5,140,2D
663,76,6,120,3D
664,76,7,160,3D
665,76,8,100,IMAX
666,76,9,120,IMAX
667,76,10,100,2D
668,77,1,180,3D
669,77,2,120,XD
670,77,3,80,3D
671,77,4,80,XD
672,77,5,120,XD
673,77,6,120,2D
674,77,7,180,2D
675,78,1,100,2D
676,78,2,160,2D
677,78,3,180,2D
678,78,4,160,3D
679,78,5,80,2D
680,78,6,140,2D
681,78,7,140,3D
682,78,8,120,2D
683,78,9,120,2D
684,78,10,120,2D
685,78,11,80,2D
686,78,12,140,2D
687,79,1,160,IMAX
688,79,2,80,2D
689,79,3,140,2D
690,79,4,80,2D
691,79,5,180,IMAX
692,79,6,100,2D
693,80,1,80,2D
694,80,2,180,IMAX
695,80,3,80,2D
696,80,4,120,2D
697,80,5,140,XD
698,80,6,160,IMAX
699,80,7,100,2D
700,80,8,120,2D
701,80,9,140,2D
702,81,1,160,IMAX
703,81,2,100,IMAX
704,81,3,80,3D
705,81,4,80,2D
706,81,5,120,2D
707,81,6,160,IMAX
708,82,1,120,IMAX
709,82,2,80,2D
710,82,3,100,XD
711,82,4,120,3D
712,82,5,160,2D
713,82,6,120,3D
714,82,7,140,2D
715,82,8,120,IMAX
716,82,9,160,2D
717,82,10,80,XD
718,82,11,160,2D
719,83,1,100,2D
720,83,2,140,2D
721,83,3,180,IMAX
722,83,4,80,2D
723,83,5,80,IMAX
724,83,6,160,3D
725,83,7,100,3D
726,83,8,120,IMAX
727,83,9,160,2D
728,84,1,180,2D
729,84,2,120,XD
730,84,3,80,2D
731,84,4,140,2D
732,84,5,100,3D
733,84,6,160,XD
734,84,7,80,2D
735,85,1,80,2D
736,85,2,80,2D
737,85,3,120,2D
738,85,4,120,2D
739,85,5,180,3D
740,85,6,180,XD
741,85,7,120,IMAX
742,85,8,120,3D
743,85,9,160,2D
744,85,10,140,2D
745,85,11,160,2D
746,86,1,180,3D
747,86,2,160,IMAX
748,86,3,160,XD
749,86,4,140,IMAX
750,86,5,180,3D
751,86,6,100,XD
752,86,7,180,2D
753,86,8,180,2D
754,86,9,180,2D
755,86,10,120,2D
756,87,1,140,2D
757,87,2,140,2D
758,87,3,100,2D
759,87,4,120,2D
760,87,5,140,2D
761,87,6,180,3D
762,87,7,120,3D
763,87,8,140,2D
764,87,9,80,2D
765,87,10,180,2D
766,87,11,160,2D
767,87,12,160,2D
768,88,1,120,2D
769,88,2,100,2D
770,88,3,140,2D
771,88,4,120,2D
772,88,5,100,IMAX
773,88,6,100,XD
774,88,7,180,XD
775,88,8,180,XD
776,88,9,140,IMAX
777,89,1,80,2D
778,89,2,80,2D
779,89,3,140,2D
780,89,4,100,3D
781,89,5,120,2D
782,89,6,180,XD
783,89,7,180,2D
784,89,8,140,3D
785,89,9,120,2D
786,89,10,120,2D
787,89,11,80,2D
788,89,12,120,2D
789,90,1,180,IMAX
790,90,2,80,2D
791,90,3,100,2D
792,90,4,120,2D
793,90,5,80,IMAX
794,90,6,80,3D
795,90,7,120,2D
796,90,8,80,XD
797,90,9,100,2D
798,90,10,100,2D
799,90,11,120,IMAX
800,90,12,80,2D
801,91,1,80,3D
802,91,2,100,IMAX
803,91,3,120,3D
804,91,4,80,2D
805,91,5,160,3D
806,91,6,80,XD
807,91,7,140,2D
808,91,8,100,XD
809,91,9,140,2D
810,92,1,80,2D
811,92,2,80,2D
812,92,3,160,XD
813,92,4,180,2D
814,92,5,160,2D
815,92,6,160,2D
816,92,7,180,2D
817,93,1,160,2D
818,93,2,100,2D
819,93,3,120,2D
820,93,4,100,2D
821,93,5,160,2D
822,93,6,140,IMAX
823,93,7,120,2D
824,94,1,160,2D
825,94,2,180,IMAX
826,94,3,180,2D
827,94,4,100,2D
828,94,5,100,2D
829,94,6,140,2D
830,94,7,180,2D
831,94,8,180,2D
832,94,9,80,XD
833,94,10,100,2D
834,94,11,140,2D
835,95,1,80,2D
836,95,2,180,2D
837,95,3,140,2D
838,95,4,160,3D
839,95,5,160,2D
840,95,6,140,2D
841,95,7,180,2D
842,95,8,80,2D
843,95,9,100,IMAX
844,95,10,80,2D
845,96,1,140,2D
846,96,2,160,2D
847,96,3,160,XD
848,96,4,140,3D
849,96,5,180,2D
850,96,6,140,XD
851,96,7,180,XD
852,96,8,100,2D
853,96,9,180,IMAX
854,96,10,160,IMAX
855,97,1,120,2D
856,97,2,180,2D
857,97,3,160,2D
858,97,4,160,IMAX
859,97,5,140,XD
860,97,6,120,2D
861,97,7,80,3D
862,97,8,120,2D
863,97,9,80,XD
864,97,10,140,XD
865,98,1,120,2D
866,98,2,80,2D
867,98,3,160,2D
868,98,4,160,2D
869,98,5,140,2D
870,98,6,160,3D
871,98,7,120,2D
872,98,8,180,2D
873,98,9,120,2D
874,99,1,100,2D
875,99,2,140,XD
876,99,3,100,2D
877,99,4,100,IMAX
878,99,5,120,IMAX
879,99,6,120,XD
880,99,7,180,3D
881,100,1,160,3D
882,100,2,120,2D
883,100,3,120,2D
884,100,4,120,2D
885,100,5,80,2D
886,100,6,140,2D
887,100,7,120,2D
888,100,8,100,IMAX
889,100,9,80,3D
890,100,10,100,IMAX
891,101,1,180,2D
892,101,2,160,2D
893,101,3,100,XD
894,101,4,140,2D
895,101,5,120,2D
896,101,6,80,2D
897,101,7,180,2D
898,101,8,100,IMAX
899,102,1,180,2D
900,102,2,160,2D
901,102,3,160,2D
902,102,4,100,2D
903,102,5,120,3D
904,102,6,160,2D
905,102,7,120,3D
906,102,8,80,IMAX
907,102,9,160,2D
908,103,1,180,2D
909,103,2,160,IMAX
910,103,3,120,3D
911,103,4,180,2D
912,103,5,120,2D
913,103,6,120,2D
914,103,7,120,2D
915,103,8,160,IMAX
916,103,9,100,2D
917,103,10,120,2D
918,104,1,140,2D
919,104,2,160,IMAX
920,104,3,120,IMAX
921,104,4,140,2D
922,104,5,140,2D
923,104,6,100,2D
924,104,7,80,2D
925,104,8,80,2D
926,105,1,160,XD
927,105,2,80,2D
928,105,3,120,3D
929,105,4,160,2D
930,105,5,180,2D
931,105,6,100,2D
932,105,7,140,2D
933,106,1,100,2D
934,106,2,120,IMAX
935,106,3,140,3D
936,106,4,80,2D
937,106,5,160,XD
938,106,6,80,2D
939,106,7,120,2D
940,107,1,140,2D
941,107,2,120,2D
942,107,3,80,XD
943,107,4,120,2D
944,107,5,140,2D
945,107,6,180,IMAX
946,107,7,180,2D
947,107,8,100,2D
948,107,9,180,2D
949,107,10,140,XD
950,107,11,180,IMAX
951,108,1,80,3D
952,108,2,120,3D
953,108,3,120,XD
954,108,4,100,2D
955,108,5,120,2D
956,108,6,140,2D
957,108,7,100,3D
958,109,1,180,2D
959,109,2,180,2D
960,109,3,120,2D
961,109,4,180,XD
962,109,5,180,2D
963,109,6,160,XD
964,109,7,120,2D
965,109,8,100,3D
966,110,1,180,XD
967,110,2,100,2D
968,110,3,120,IMAX
969,110,4,120,2D
970,110,5,100,IMAX
971,110,6,100,2D
972,110,7,180,XD
973,110,8,120,2D
974,110,9,80,2D
975,110,10,120,2D
976,110,11,140,3D
977,110,12,100,3D
978,111,1,160,2D
979,111,2,160,2D
980,111,3,120,2D
981,111,4,80,2D
982,111,5,140,2D
983,111,6,180,2D
984,111,7,120,XD
985,111,8,140,IMAX
986,111,9,100,IMAX
987,111,10,180,2D
988,111,11,100,XD
989,111,12,80,2D
990,112,1,100,IMAX
991,112,2,100,IMAX
992,112,3,100,XD
993,112,4,180,2D
994,112,5,160,3D
995,112,6,180,XD
996,112,7,120,3D
997,112,8,160,2D
998,112,9,160,XD
999,112,10,120,2D
1000,112,11,80,XD
1001,113,1,140,IMAX
1002,113,2,160,XD
1003,113,3,80,IMAX
1004,113,4,120,2D
1005,113,5,180,2D
1006,113,6,180,2D
1007,113,7,80,2D
1008,113,8,160,2D
1009,113,9,180,2D
1010,113,10,180,2D
1011,113,11,180,2D
1012,114,1,120,2D
1013,114,2,120,2D
1014,114,3,120,IMAX
1015,114,4,140,2D
1016,114,5,100,2D
1017,114,6,80,2D
1018,114,7,140,2D
1019,114,8,120,2D
1020,115,1,100,2D
1021,115,2,120,2D
1022,115,3,80,XD
1023,115,4,140,XD
1024,115,5,120,3D
1025,115,6,140,2D
1026,115,7,100,2D
1027,115,8,160,XD
1028,115,9,80,2D
1029,115,10,160,2D
1030,115,11,100,2D
1031,116,1,160,2D
1032,116,2,180,2D
1033,116,3,140,IMAX
1034,116,4,180,2D
1035,116,5,100,IMAX
1036,116,6,100,2D
1037,116,7,120,2D
1038,116,8,100,2D
1039,117,1,160,2D
1040,117,2,120,2D
1041,117,3,100,2D
1042,117,4,180,IMAX
1043,117,5,160,IMAX
1044,117,6,180,2D
1045,117,7,140,2D
1046,117,8,180,XD
1047,117,9,140,2D
1048,117,10,80,2D
1049,117,11,140,IMAX
1050,117,12,160,XD
1051,118,1,160,2D
1052,118,2,100,IMAX
1053,118,3,100,2D
1054,118,4,120,2D
1055,118,5,100,2D
1056,118,6,160,2D
1057,118,7,140,2D
1058,118,8,80,2D
1059,118,9,140,2D
1060,118,10,80,3D
1061,118,11,180,2D
1062,119,1,140,XD
1063,119,2,80,2D
1064,119,3,120,2D
1065,119,4,100,3D
1066,119,5,140,XD
1067,119,6,160,3D
1068,119,7,80,3D
1069,119,8,140,2D
1070,119,9,120,2D
1071,119,10,180,2D
1072,119,11,180,IMAX
1073,119,12,140,2D
1074,120,1,120,2D
1075,120,2,80,IMAX
1076,120,3,180,XD
1077,120,4,100,IMAX
1078,120,5,80,2D
1079,120,6,160,2D
1080,120,7,140,XD
1081,120,8,160,IMAX
1082,120,9,120,IMAX
1083,120,10,100,3D
1084,121,1,160,2D
1085,121,2,160,2D
1086,121,3,80,3D
1087,121,4,80,2D
1088,121,5,120,XD
1089,121,6,140,2D
1090,122,1,160,IMAX
1091,122,2,180,XD
1092,122,3,160,IMAX
1093,122,4,180,2D
1094,122,5,180,IMAX
1095,122,6,140,2D
1096,122,7,100,3D
1097,122,8,100,3D
1098,122,9,120,IMAX
1099,122,10,160,2D
1100,122,11,140,3D
1101,123,1,80,2D
1102,123,2,140,3D
1103,123,3,160,2D
1104,123,4,120,2D
